event01_34_05.bytes,,Llo,,
754,Satoko (Casual),……戦人さぁん？,...Battler-saan?,
758,,"場の空気が剣呑なものへと変わり、
みんなの冷たい視線が戦人さんに向けられる。",The atmosphere turned menacing as everyone fixed their cold gazes on Battler-san.,
761,赤坂,"つまり、単なる記憶違いで
特に問題はなかったんだね……よかった。","So, this was essentially all caused by a simple slip of the mind, and nothing was actually wrong... Thank goodness.",
763,,"……それでも、赤坂さんの一言によって
場の空気がふっ、と落ち着いた気がした。","...But because of Akasaka-san's one comment, {i}poof{/i}, you could feel the atmosphere chill down again.",
768,戦人,あ、赤坂さぁん！,A-Akasaka-saaan!,
770,赤坂,"よかったじゃないか、誰も怪我がなくて。
少しひやりとさせられたのは確かだけど
杞憂で済んで、本当によかったよ。","It really is a relief that no one's hurt.
I clearly got a bit freaked out back there, but thankfully that was all baseless worry.",
774,Miyuki (Casual),そ……それもそうですね。,"Y-... yeah, true.",
778,圭一 (Casual),"そ、そうだな……一時はどうなるかと
思ったけど、何事もなかったみたいだし
それが一番だな！","Y-Yeah... I didn't know what was gonna happen for a minute, but it's awesome that it turned out to be nothing after all!",
782,Rika (Casual),"終わりよければ、と言うやつなのですよ。
にぱー。",All's well that ends well. Nipah~.,
786,Hanyuu (Casual),あぅあぅ、大事にならなくてよかったのですよ。,"Au au, I'm glad it was nothing major.",
792,朱志香,はぁ？　いったい何の心配してたんだよ。,Huh? What were you so worried about?,
794,戦人,いや、それは……。,"Well, you see...",
797,,"まさか『ツクヤミ』に襲われてたのでは、
とも言えず、戦人さんが言葉を濁して口ごもる。","Battler-san was beating around the bush, hesitating from bringing up the fact he was attacked by {b}Tsukuyami{/b}.",
798,,"そんな２人を見て、詩音さんが
くすっと笑みをこぼした。","Seeing those two, Shion-san couldn't help but let out a giggle.",
802,詩音 (Casual),"くっくっくっ……戦人さんって、
物忘れが多い方みたいですね。",*cackle*cackle*cackle*... Battler-san seems pretty airheaded.,
804,詩音 (Casual),"気をつけましょうね。そんなことじゃ、
約束事をうっかり破ったりして大切な相手に
悲しい思いをさせたりするかも、ですよ。",Let's tread carefully. Our precious friend that carelessly breaks his promises might get sad if we keep that up.,
806,戦人,そ、そこまで酷くはねーよ……たぶん……。,I-It's not thaaat bad... probably...,
810,Rika (Casual),みー。目が泳いでいるのですよ。,Meep. His eyes are darting around.,
812,戦人,"こ、これだけ暗いんだから
目がどう動いてるかなんて見えねぇだろうが！","I-It's probably because no matter how my eyes move, it's too dark to see!",
816,Mion (Casual),……苦しい言い訳だねぇ。,...What a painful excuse.,
820,Nao (Casual),まぁまぁ、何事もなかったし……。,"Alright, alright, nothing happened, so...",
824,,"……なんてことを話し合いながら、
とりあえず戻る準備をしようとした――
その時だった。","...We were getting ready to head back at this point of the conversation.
It was then that it happened.",
828,縁寿,"危ないっ、行ったわよ！
気をつけて！","Look out! They're coming!
Brace yourselves!",
833,？？？？,ギィイイィイイイイイ！！！,Giiiiiiiiiiiiiiiiiiiiii!!!,
839,Kazuho (Casual),えっ？,Huh?,
844,,"叫び声とともに、草むらから飛び出た
『ツクヤミ』を前にして、
一瞬頭が……真っ白に染まる。","Paired with that screaming voice, {b}Tsukuyami{/b} came bursting out from the grassy area in front of us... instantly turning my mind blank.",
848,Nao (Casual),なっ……！　このタイミングで？！,Wha-...?! Why now?!,
850,朱志香,えっ……えっ？,H-... huh?,
854,Miyuki (Casual),あー……これはまずい！,Aah... this is bad!,
858,Rena (Casual),みんな、無防備な朱志香さんを守って！,"Everyone, defend Jessica-san!",
866,戦人,くそっ！　朱志香、動くんじゃねぇぞッ？！,"Shit! Jessica, don't move from that spot, alright?!",
871,？？？？,ギィイイィイイイイイ！！！,Giiiiiiiiiiiiiiiiiiiiii!!!,
877,朱志香,へっ……あ、おい……？！,"Wh-... ah, hey...?!",
886,縁寿,"っ……隠れて見守ってたつもりだったのに、
私のところにまでバケモノが来るなんてね……！","Gh... I was just planning on hiding and watching over them, but to think those monsters would come to the spot I was at...!",
888,縁寿,"どうしよう？　あの子たちの言ってた内容だと、
素手でどうにかできる相手じゃなさそうだし……
って、えっ？","What should I do? Just like those kids said, you probably can't go against them barehanded... Wait, huh?",
890,縁寿,"これって『ロールカード』……？
いったいなんで、私の手にこれが……？！","Is this a {b}Role Card{/b}...?
How did this end up in my hands...?!",
895,？？？？,グァァァァアアァァッッッ！！,GROOOOOOOOOHHHHHHHHH!!!,
898,縁寿,"……どうやら、考えてる余裕もなさそうね。
これだけの数があっちの群れに加勢すると、
お兄ちゃんたちが面倒なことになるかもだし……！","...Apparently I'm not gonna have much room to think either.
If these ones make it over there as reinforcements, it'd be a load of trouble for Onii-chan and his friends...!",
901,縁寿,"いいわ……相手してあげる。
右代宮家の生き残りの力とプライド、
とくとその目でご覧なさいッッ！","Fine... I'll tango for a bit.
I'll burn the strength and pride of the sole survivor of the Ushiromiya family right into your eyes!!!",
