event01_30_09.bytes,,"beanbug; very chill with others contributing to this, i finished my ssr stories and didn't want to step on others' toes by editing their sheets ",,,,,,,,,,
index,chara,jp,en,,3 lines remaining,,,,,,,
632,Nao (Casual),"そのあなたが、さきほど言いました。……第一と第二の魔法陣を見
て。","Since you just said that, I want you to look at both the first and second magic circles.",,,,,,,,,
642,ベアトリーチェ,"……それにしても。……よくわからぬ魔法陣であるなぁ。……一
体、何に使うのやら。","...Even so, I don't understand this circle.....I don't know what it's used for.",,,,,,,,,
649,,"　これで説明がつく。これは多分、本当の意味での魔法陣なんか
じゃない。",That itself was an explaination. Perhaps it wasn't a magic circle at all.,,,,,,,,,
650,,"　この推理なら、……紗音さんが異常に思わず、そして、魅音さん
と詩音さんも、あれを見てあまりショックを受けていなかった様子
が説明できる……！","That line of reasoning explains......why Shannon-san didn't see it as strange, and why Mion-san and Shion-san didn't seem to be too shocked when they saw it......!!",,,,,,,,,
654,Nao (Casual),そこのところを、もう少し詳しく説明していただけませんか？,Can you please give us a more detailed explaination?,,,,,,,,,
656,ベアトリーチェ,"うむ。……魔法陣の図形には、おおざっぱに言うと、エネルギーの
流れや中心、渦などが記されているものなのだが……。",Mu.....the shapes of a magic circle can roughly describe things like the center and flow of energy through it.....,,,,,,,,,
658,ベアトリーチェ,"……この魔法陣は、外部から魔力を集めてるように見えつつ、素通
りしておるし、このサークルに意味がまったくないし……。","...This circle looks like it's gathering magical energy from outside of it, but in reality it just passes through the circle without being collected, so it doesn't look like it has any meaning in particular. ",,,,,,,,,
660,Nao (Casual),"ベアトリーチェ卿と呼ばれる大魔女のあなたの目から見て、……
まったく意味がない？",So in the eyes of the witch called the great lord Beatrice......the magic circle doesn't make any sense at all?,,,,,,,,,
662,ベアトリーチェ,うむ。……これは魔法陣風の、よくわからぬ紛い物だ。,Mu......this thing that appears to be a magic circle is an illegible fake.,,,,,,,,,
667,ドラノール,"朗読役なので黙っていましたが、……魔法陣の周囲に記されている
文字も、見たことのないものデス。","I am a Reader, so I have kept silent, but...I have never seen the letters on the circumference of the summoning circle BEFORE.",,reader is the same term featherine uses wrt ange.,,,,,,,
669,ドラノール,"天界大法院では膨大な種類の言語を扱いますが、……こんなものは
一度も見たことがないデス。","The great court of heaven uses a vast number of languages, but...I have never seen any like THIS.",,,,,,,,,
674,Nao (Casual),結論から言うと、……子供騙しの、魔法陣風の何か、ってことね？,"So from that conclusion, you could say......that this magic circle was like some kid's trick?",,,,,,,,,
676,ベアトリーチェ,うむ。,Mu.,,,,,,,,,
678,ベアトリーチェ,しかし、この２つの魔法陣は、異なる人物が作ったのであろう？,"But these two magic circles must have been made by different people, correct?",,,,,,,,,
680,ベアトリーチェ,"渦巻と二重丸の違いはありつつも、明らかに双方とも、同じ魔法陣
を描こうとしたことは明白だ。","While the spirals and overlapping circles vary, it's clear that both parties were trying to draw the same magic circle.",,,,,,,,,
682,Nao (Casual),"つまり、この魔法陣風の落書きが、複数人によって共通認識になっ
ている可能性……。","In other words, it's possible this magic scribble was made by several people who shared some sort of common knowledge...",,,,,,,,,
684,ベアトリーチェ,……よ、よくわからぬぞ。もう少し噛み砕いてはくれぬか……。,...I....I don't understand. Can you simplify what you're saying....?,,,,,,,,,
686,Nao (Casual),"今から言うことを、あなたの手番で発言してほしいの。それで、あ
なたとあたしは、共に勝者になれる。","I want you to say what I'm about to on your turn. That way, we can both be declared the victors. ",,,,,,,,,
695,ヱリカ,"………くぅうううぅぅぅッ……、私はなんで……ッ、六軒島では
いっつも負けンの……ッ……ッッ！！","........Kuuuuuu, why....why do I always lose on Rokkenjimaaaaa........!!",,,,,,,,,
703,ベアトリーチェ,"ドラノール……。妾も素直に拝聴したい。妾の手番を、菜央に譲っ
てやれぬか。",Dlanor....I would like to listen respectfully to Nao. May I give me turn to her?,,,,,,,,,
705,ドラノール,貴女が望むのなら、構いマセン。,"If that is your request, it is FINE.",,,,,,,,,
707,ドラノール,"菜央。私も聞きたいデス。……どうして紗音は、この魔法陣を見過
ごしたのデスカ。",NAO. I would also like to hear how Shannon overlooked this magic CIRCLE.,,,,,,,,,
713,Nao (Casual),ヱリカさん。探偵の情け、だったかしら。,I wonder if Erika-san feels any detective's compassion.,,,,,,,,,
715,ヱリカ,けっ。……負けです負けです、負けですよ……。,Tch. ....lose lose lose lose.....,,,,,,,,,
717,Nao (Casual),多分。この魔法陣は………、,Maybe that summoning circle.....,,,,,,,,,
