event01_30_99.bytes,,Lunik - TL,hanss - TL,Lloro - QC,Naegles - QC2
443,Mion (バニー),"『中秋哀歌～兎たちの悲恋殺人事件～』に出て来た、月兎の衣装
だぁあぁ！！",It's the costumes of the moon rabbits from Mid-Autumn's Lament: The Heartbroken Rabbits Murder Caasseee!!,,
447,詩音 (バニー),"すごいじゃないですか！　私とお姉で、月兎の舞踏合わせが出来ま
すよ？！","Isn't this great! Me and my sister, we can do the moon rabbit dance together!!",,
455,Nao (シエスタ),"魅音さんと詩音さんは楽しそうだけど、あたしは訳が分からないで
す！","Mion-san and Shion-san seem to be having fun, but I don't understand what's going on!",,
458,Nao (シエスタ),これも、名探偵ワニャンに出てくる衣装なんですかぁ？！,Is this also a costume from Detective Wanyan?!,,
465,ヱリカ,いいえ、違いますね。シエスタ姉妹兵の制服です。,Not at all. It's the uniform of the Chiester Sisters Guard Corps.,,
467,ヱリカ,"魔界のマニアの間では、すっごい高額で取引されてるとか。それの
新品なんて、ある意味、すっごいプライスレスです。","Among the maniacs of the Magical World, it's sold at an incredibly high price. In a way, a new one of those is priceless.",,
471,Mion (バニー),まぁ、新品より使用済みの方が価値が出る業界もあるけどねー。,"Well, there are industries where a used one is worth more than a new one you know~.",,
477,Nao (シエスタ),"あたしには価値がよくわかりませんっ。寒いです、恥ずかしいで
す！！","I don't care what it's worth. I'm cold, {i}and{/i} I'm embarassed!!",,
479,ヱリカ,おや？　先程のメッセージカードの文字が、変わっていますね。,Oh? The text on the message card from earlier has changed.,,
483,,"　楽しんでいただけたかな？
　開けると即座に衣装が変わる、お着換え玉手箱であるぞ！","I wonder if you've been enjoying yourself?
It instantly changes your clothes when you open it, as it's a Clothes Change Pandora Box!",how to tl 玉手箱,you got it / order change
484,,"　実はな、３人にそれぞれが最も欲しがっている衣装を贈ってやろ
うと思い、少し、そなたらのカケラを覗かせてもらったのだ。","In fact, I thought I'd give the three of you the costumes you wanted the most while giving you all a glimpse at a fragment of yourself.", ,
485,,"　魅音と詩音については、欲しい衣装のイメージがはっきりしてい
たのでよかったが、菜央については、わからなかったのだ。","For Mion and Shion, I had a clear image of what they wanted, but I couldn't figure anything out for Nao.",,
488,Nao (シエスタ),"……服なんて、その時その時でニーズが変わりますし。一番欲しい
１着なんてイメージ、普段は持ってないし……。","...For clothing, my preferences change all the time. I don't usually have an image of one outfit I want the most.",the -> my,
491,,"　なのでな、考えた。
　魅音と詩音は、兎たちの悲恋殺人事件の月兎の衣装なのであろ
う？","So, I thought about it.
Mion and Shion have the moon rabbit costumes from The Heartbroken Rabbits Murder Case, right?",,
492,,"　ならばそなたも兎合わせにしてやったら、３人で仲良くできるの
ではないかと思ってな！","So, I thought that if you were a rabbit too, the three of you could be good friends!",,
499,Nao (シエスタ),"思わないわぁあぁぁ！！！　返して！　スカートの前の部分だけで
も返してぇぇ！",I don't think soooooooo!!! Give it back! The front part of the skiiiirtt!,,
506,ヱリカ,"……フロントオープンスカートって、どういう訳か魔界で流行って
るんですよね。",...Front-open skirts are popular in the magic world for some reason.,,
511,詩音 (バニー),ちょっと、エンジェルモートっぽいですよね！,"Wait, these are a bit like Angel Mort's outfits!",that's a -> these are,
513,Mion (バニー),"菜央ちゃん、エンジェルモートで今度、その衣装でバイトしてみな
い？！","Nao-chan, why won't you try out some part-time at Angel Mort in that outfit?!",editz,
522,Nao (シエスタ),"ヒナミザワーッ！！！　オ・コ・ト・ワ・リぃいいぃいい
いぃッ！！！",Hinamizawa--!! I re-fu-seeeeeee!!!,,
525,Nao (シエスタ),"っていうか、さっきまで着てたあたしの服はどこなの？！　ど
こ？！","Wait, where are the clothes I was wearing just now?! Where are they?!",,
532,ヱリカ,あ、またメッセージカードに文字が。……何々？,"Ah, there are more words on the message card... I do wonder what it says? ...Hm?",,
535,,追伸。,P.S.,,
536,,"　そなたらが着ていた元の服は、魔界クリーニングの超特急便に
て、明日には新品同様になって自宅に届けられることになってい
る。","The clothes you were wearing will be delivered to your house tomorrow, by Magic World Cleaning's express service, where they will be as good as new.",,
537,,"　クリーニング代は妾の奢りであるぞ！　礼には及ばぬ。
　それではまた会おう！　シーユーアゲイン。ハバナイスデーイ！","The cleaning is on the house! No need to thank me.
I'll see you soon! <See you again. Have a nice day!>",<See you again. Have a nice day!> OMFG ANGE,
540,Nao (シエスタ),どういうこと？！　家までこの恰好でいろってことなの？！,What do you mean?! Am I supposed to dress like this until we get home?!,,
545,Mion (バニー),おじさんたちはコスプレ衣装があるから、着替えられるねー。,This ol' man has cosplay outfits if you want to change~.,,
547,詩音 (バニー),"でもお姉？　往来を歩くには、ちょっと露出の多い衣装ばっかりで
すよ？",But Sis? Aren't these outfits a bit revealing for walking in public?,, 
551,ヱリカ,殺人現場再現の、あの血まみれ衣装にすればいいじゃないですか。,Why don't you wear that bloody one from the murder scene reenactment?,,
553,詩音 (バニー),ただし、職質は免れないと思いますけれどね……。,"But, I think it'd be hard to avoid getting questioned if we did that...",,
557,Mion (バニー),"まぁまぁ。ウェディングドレス姿で、泣きながらタクシーを停めれ
ば、ちょっとはオマケしてくれるかもしれないーって♪","Well, I think that if I stopped a taxi while wearing a wedding dress and crying, I might get a bit of a discount♪",,
562,ヱリカ,たくましい人たちです。くす。,You two are tireless. *giggle*,Check,just changed it to that so its easier to consume
565,Nao (シエスタ),こんな羞恥プレイ！　聞いてないわ！！　どうしてこんな目に！,This shameplay! I've never heard of something like this!! How could you taint me like this!?,shameless -> shameplay,
568,Nao (シエスタ),"この恰好で帰るなんて、部活のコスプレ罰ゲームよりもサイアクだ
わーッ！！",Going home dressed like this is worse than the club's cosplay punishment games!!,,
570,ヱリカ,くっくっくっく……。メイアイヘルプユー？,*giggle*giggle*giggle*. <May I help you?>,,
577,Nao (シエスタ),イエース！！　アイニード、えっと、スカートのフロント！！,"<Yes!! I need>, ummm.... <Skirt no front!!>",editz,
580,Nao (シエスタ),"このスカートの、切り取った前の部分を返して！！　せめて下腹部
だけ隠させて！",Give me back the front part of this skirt! At least let me cover the abdomen area!!,,
584,Nao (シエスタ),何よ、この衣装！！　センスない！　Ｈ！　最低だわぁぁぁ！！！,What's with this outfit!! It's tasteless!! It's pervy! It's the worstttttttt!!!,added it's pervy,
