event01_30_07.bytes,Omega: I tl'd some lines to the best of my ability.,Lloro - QC,Naegles - QC2,NOTES,
615,ヱリカ,まさか、そんな……。本当に……魔女の#p祟#sたた#rり………。,"Impossible, this couldn't really be... a witch's curse?",,
617,Nao (Casual),ヱ、……ヱリカさん、……しっかり……。,"E-Erika-san, calm down...",,
620,,"　あの挑発的なヱリカさんが、これほどに弱々しい姿を見せると
は……。",The provocative Erika-san now looked so frail and weak...,,
621,,"　だからむしろ、これほどに……、恐ろしい。あたしまで足が竦ん
でくる……。",The sight of her like this... was far more terrifying. Even I was frozen with fear...,"from ""It was... terrible to look at",
625,Mion (バスタオル),"えっと………。午前中いっぱいは確か、施錠をし忘れてたんだよ
ね……？","Um... this morning, you said you didn't lock your door... right?",,
627,ヱリカ,"そ、そうですそうですっ。でも、あの後、ちゃんと施錠しまし
た……ッ。","Y-Yes, that's right... But after that, I made very sure to lock my door... nnh.",,
631,詩音 (バスタオル),その時。部屋に入ってますよね？　室内に異常はありましたか？,"And at that time, you entered your room, right? You didn't find anything weird inside?",,
640,ヱリカ,ないですッ。ある訳がない！！,Nothing at all! That would be impossible!!,,
648,Mion (バスタオル),"だとすると、ヱリカさんは確か、午前中には鍵をし忘れているけれ
ど、その時間には悪戯はされていない。","If that's the case, Erika-san, then when you left your door unlocked, there were no pranks left there at all.",,
650,詩音 (バスタオル),犯行は、施錠してから開けるまで、ってことになりますね？,"The crime was committed between the time the door was locked and the time it was opened, right?",,
655,Nao (Casual),"……あたしのシーツに描かれた魔法陣と同じで、絵の具で描かれて
いるようです。","...It looks just like the magic circle that was on my sheets, and it uses the same paint.",,
660,Mion (バスタオル),うん。普通の水彩絵の具、だねぇ……。,"Yeah. It's just ordinary watercolor paint, if I'm right...",,
662,詩音 (バスタオル),"……最初は透明で、時間の経過で浮き上がってくるような手品染み
たものじゃない。","...It's a trick where it's transparent at first, but as time passes, the stain starts to show up more and more.",check,"from ""...From the start, this wasn't the kind of magic trick that becomes obvious as time goes on."
664,Mion (バスタオル),となると、……犯行は、鍵を開けた直後しか考えられない。,As far as this crime goes... it could only have been committed immediately after opening the door.,"from ""It's impossible, but",
669,Nao (Casual),……え………？,...Huh......?,,
674,詩音 (バスタオル),…………ヱリカさん。正直に答えて下さいね。,"...Erika-san. Please give us an honest answer, okay?",,
676,ヱリカ,何？　話しますよっ。聞かれれば何でも！,What? I'll tell you. Anything you want!,,
679,,"　あの賢いヱリカさんが、何を疑われているのか、想像出来ないな
んて。
　……あたしでさえ、その疑念が最初に浮かんだのだから……。",As if we couldn't suspect that clever Erika-san... Even I could guess that right away...,,
685,詩音 (バスタオル),自作自演、……じゃないですよね？,"...You're faking this, aren't you?",,
690,,"　ヱリカさんは、一度も見せたことのない表情を浮かべる。
　目を見開き、引きつった表情は……、衝撃と呆然の、双方を同時
に浮かべたものだった……。","I had never seen such a look on Erika-san's face. Her eyes widened, and her expression was one of both shock and dumbfoundedness.",,
