event01_30_08.bytes,,"Omega: I'll try some of this too, why not",Lloro - QC,NOTES,Naegles - QC2
634,ベアトリーチェ,"なので、先程は菜央を攻めた。次はヱリカを攻めさせてもらおう
ぞ。","I attacked you just now, so next, I will place my attack on Erika.",beatofied,
638,ヱリカ,どうぞ、ご自由に。,Do as you wish.,"from ""Go ahead. Do your worst",
641,,"　……ヱリカさんは恐らく、確実にあたし狙いだ。
　自身の勝利は当然として、それ以上に、あたしを負けさせたいの
だ。","...Erika-san is definitely gunning for me. She wants to claim victory, but she also wants me to lose more than anything.",,
642,,"　だが、ベアトリーチェに、そういう悪意はまったくない。
　公平に戦うと言っている。……もちろんゲームの展開上、勝ちが
見えたら畳みかけてくることもあるだろう。","Meanwhile, I sense no ill will at all from Beatrice. She just wants to have a fair game. ...Of course, with the way things are playing out, she might press on if victory is in sight.",,
643,,"　……なら。あたしとヱリカさんがまだ均衡している内に、……ベ
アトリーチェを、あたし側に引き込みたい……。","...Maybe, as Erika-san and I hold our positions... I can try to pull Beatrice over to my side...","from ""...Erika-san and I are maintaining a balance...but maybe I can win Beatrice over to my side...",
644,,"　あたしの勝利条件は、ヱリカさんが行なった自作自演であること
を証明すること。","For me to win, I need to prove Erika-san was acting.",,
645,,"　ベアトリーチェの勝利条件は、人間には不可能な悪戯であること
を証明すること。
　……………………。","For Beatrice to win, she must prove the crime was impossible for humans......",,
649,Nao (Casual),……ドラノールさん、何度もすみません。もうひとつ確認が……。,"...Dlanor-san, excuse me again. I would like to confirm something else...",,
651,ドラノール,お気になさらズニ。どうぞ何でも聞いて下サイ。,Rest ASSURED. I will listen to what you have to SAY.,do not worry -> rest assured,
653,Nao (Casual),あの、……その。,Ah... um.,,
656,,"　あたしが、気まずそうな様子と、内緒話を意味する仕草を見せる
と、ドラノールさんはすぐに理解してくれた。","I gave an awkward look and motioned for Dlanor-san to come over for a private talk, and she understood immediately.",,
659,ドラノール,ウィスパーですね。問題ありマセン。,We can WHISPER. It is not an ISSUE.,"from ""Please whisper your question to ME.",
661,,"　どんなゲームでも、時に、あるルールの確認行為そのものが、自
分の手の内を明かしてしまうことがある。","No matter the game, the very act of checking a rule could reveal your hand.",,
662,,特に、ヱリカさんに聞かれる訳にはいかないのだ……。,I especially didn't want Erika-san to hear me...,,
666,ベアトリーチェ,ふむふむ。何の相談であろうな？,"Hmm-hmm, having a private chat, are we?",,
668,ヱリカ,"さぁ。……でも、初心者なんですから、私たちも胸を貸してあげな
いといけません。","Who knows? Well, she is a novice, so we must lend her our support.",Sigh -> who knows / should give her some -> must lend her our,
676,ドラノール,……ふむフム。………なるホド。,...Mm-HMM. ......I SEE.,,
681,,ドラノールさんと顔を寄せ合って、小声で話し合う。,My face was pressed against Dlanor-san's as we spoke in hushed tones.,,
682,,"　……いい匂い。今まで嗅いだことのない香りだ。……彼女の髪に
鼻を押し付けて、スーハーしたくなるわ……。",...She smelled nice. This was a fragrance I had never experienced before. ...I wanted to press my nose against her hair and take it all in...,,
685,ヱリカ,ドラノールって、生意気にすっごくいい匂いがするんですよねぇ。,"Dlanor gives off an audaciously bewitching scent, doesn't she?","from ""Dlanor smells pretty good, doesn't she",i wanted to say heavenly so bad but having an adverb there makes it awkward sounding :C
687,ヱリカ,"私、鼻がいいんで、ドラノールの気配は匂いでわかります。うふふ
ふ。","I have a good nose, so I can smell her from a mile away. *giggle*giggle*",,
692,ドラノール,……菜央。問題ありマセン。,"...Nao, there is no issue at ALL.","from ""I have a question",
694,ドラノール,"第一の魔法陣がニンゲンの仕業であると証明し、しかし第二の魔法
陣がニンゲンには不可能であると証明できたナラ……。","The first magic circle was proven to be possible for a Human, but if the second magic circle was proven IMPOSSIBLE...",,
696,Nao (Casual),あたしとベアトリーチェは、共に勝者になれる……。,Then Beatrice and I would be the winners...,,
698,ドラノール,ただ、ウィスパーは朗読者である私にしか出来マセン。,"However, as the Reader, this is nothing more than just a whisper to ME.",,
700,ドラノール,"ベアトリーチェ卿に共闘を申し出ることは自由ですが、ヱリカの耳
にも入ることを忘れないで下サイ。","You are free to tell Lady Beatrice and ally with her; however, Erika-san will hear it as WELL.",,
703,,よし、グッド。…………でしたっけ？,"Alright, <good>. ......Is that how you say it?","from ""Alright, <good>...but will this work?",
704,,"　ヱリカさん。あたし、負けず嫌いよ。
　絶対に勝つ。そして、魔法陣の２つの密室も暴いてみせる。","Erika-san, I hate losing. I will win with certainty. And I {i}will{/i} uncover the secrets of these two magic circles.","from ""I don't want to lose to Erika-san. I must win.",
705,,"　ヱリカさん。あなたに習ったわ。
　この、格闘的知恵比べは、……結局は殴り合いも同然。","Erika-san, I learned it from you. This battle of wits was more like a fistfight.","from ""I learned this from Erika-san, after all.",
706,,"　あらゆる主張や推理、証拠で、徹底的に相手を打ちのめし
て、……ダウンさせた方が勝者となる。","The victor will be the one who amasses all claims, all logic, and all evidence... so that they can beat the enemy down thoroughly.",reworded but can be worded better probs,
708,,あたしは勝つ。そして、あなたを負かす！,"I will win, and I WILL defeat her!",,
712,Nao (Casual),……………………。,........................,,
714,ヱリカ,……グッド。,...<Good>.,,
