event01_30_10.bytes,,tessie - TL,Uminetta - TL (I translated it a little bit),Lloro - QC/TL,Naegles - QC2
535,Nao (Casual),"これは名探偵ワニャンの映画に出てくるワンシーンで云々！　教え
てくれれば、あたしは怯えずに済んだんですッ。","This was an actual scene from the Wanyan movie! In teaching me that, it stopped being scary to me.",,
543,詩音 (Casual),それはぁ……、ねぇ………？,That's... yeah...?,,
545,Mion (Casual),"菜央ちゃんの驚きようが……、あんまりに可愛かったもので……つ
いつい……。",Nao-chan getting surprised was... excessively cute... though unintentional...,,
550,Nao (Casual),"ハイ、……“あんまりに可愛かったもので、ついつい”。１７文字
ですね。","{i}Yeah{/i}... ""Excessively cute, though unintentional."". 34 letters, right?",IF SOMEONE DOES CHANGE THE ONE ABOVE PLEASE KEEP THE AMOUNT OF LETTERS IN QUOTES AS 34 PLEASE PLEASE,
552,Nao (Casual),魅音さんと詩音さんは１７分割に切り刻みます。,I'm going to chop you and Shion-san into 34 bits.,PLEASEE ITS PERTINENT TO THE STORY,ok but the fact the bits they would be cut into would amount to 34... lets discuss
557,Nao (Casual),"続きまして、ヱリカさん。……あなたは本当は、見ていたんですよ
ね？","Let's continue, Erika-san. ...Did you really see it?",watch -> see,
559,ヱリカ,え？　何を？　ワニャンの放送はもちろん全部……、,Eh? See what? Of course I saw all of Wanyan's broadcast....,added see,
562,Nao (Casual),"あなたの部屋の魔法陣です！　詩音さんの悪戯はお昼前にはもう行
われていたわ！",The magic circle in your room! Shion-san's prank had already been done before noon!,,
564,Nao (Casual),"あなたは施錠前に室内を確認したけれど、異常はなかったと言いま
した。……嘘ですよね？","You checked inside before you locked your room, but you said you found nothing out of the ordinary. ...That was a lie, wasn't it?",,
566,ヱリカ,"……紗音さんが魔法陣を気にしなかった件で混乱しているようだっ
たので、ちょっとからかっちゃおうと思いまして……♪",...You were so confused over the case with Shannon-san not batting an eye at the magic circle prank that I thought I'd maybe mess around with you for a little bit...♪,,
568,Nao (Casual),"“紗音さんが魔法陣………っちゃおうと思いまして”……。４９文
字ですね。サービスで切り上げて５０文字です。","Hm, so your statement in total had 49 vowels... right? I'll do you a favor and make it 50.",IM PUKIGN,
570,Nao (Casual),"さすがに５０分割は面倒臭いので、ヱリカさんはフードプロセッ
サーに放り込んだ方が楽そうです。","50 pieces would definitely be painstaking to get to, though, so tossing Erika-san in a food processor would be much more fun.",LIKE ITS SO GENIUS,
574,,ひーーッ、猟奇的ぃ！！　３人は悲鳴を上げる。,"""Eeeekkk, how grotesque!!"" The three shrieked.",,
575,,"　あたしから見れば、あんな惨殺体の格好をして互いに写真を撮り
合うアンタらの方が、ずっと猟奇的だ。","No, from my point of view, the image of three massacred bodies banding together in front of me has been {i}far more{/i} grotesque.",,
578,Nao (Casual),"まぁ、３人とも素直に謝りましたので、切り刻むのは今回は保留し
ます。","Well, since you three already apologized earnestly, I'll save mincing you up for another day.",,
584,Mion (Casual),"はーーッ。よかったぁ！　菜央ちゃんも、ワニャンを見てたらいい
よ！","Haaaahh. Thank goodnesss! Nao-chan, if you watched Wanyan too it would be awesome!",,
586,詩音 (Casual),ぜーったい、映画見たら、ワニャン沼にズブズブ入りますからぁ。,"If you see the movie, you'll AB-SO-lutely sink deep into the Wanyan swamp.",,
592,ヱリカ,"ワニャン沼、いいですねぇ。今度、コラボカフェがあるそうです
よぉ！　一緒に行きましょおー！！","Wanyan swamp, oh, I like that. There's apparently a cafe collabing with them that opened recently! Let's go togetheeerrrr!!",,
597,Nao (Casual),……今、最後の謎が浮かんだわ。,...The last mystery has just emerged.,,
599,Nao (Casual),"あなたたちがそれぞれ、熱狂的な名探偵ワニャンのファンであるこ
とは理解しました。",I've finally grasped that each of you are wildly enthusiastic about Detective Wanyan.,,
601,Nao (Casual),"しかしそれにしたって……、あなたたちの意気投合っぷりは、
ちょっと考え難いほどです。",But with that said... it's a bit hard to understand why you guys are so chummy.,,
603,Nao (Casual),あなたたちは、いつの間にそんなに仲良くなっていたんですか？,At what point did you guys start getting along so well?,,
605,,"　あぁ……、いよいよ明かされる。
　あたしにとっての六軒島は、魔女と魔法陣と謎解きのミステリア
スな２泊３日だった。","Aah... it's getting more and more clear. For me, my stay on Rokkenjima has been a very mysterious three days and two nights, involving witches, magic circles, and puzzles to solve.",,
606,,しかし。,But...,,
607,,"　あたしが魔法陣に怯え、不可解な謎に頭を悩ませている間
に……、彼女たちは、#pと#s・#r#pて#s・#r#pつ#s・#r#pも#s・#r#pな#s・#r#pい#s・#r暗闘を繰り広げていたの
だ………。",As I was fearing magic circles and being concerned with baffling mysteries... a {i}preposterous secret feud{/i} between the girls began to ensue.,,
