event01_30_06.bytes,,roux,Lloro - QC/TL,Naegles - QC2
526,Mion (ウェディング),"お～っと、お触りは厳禁ですよ～？　ウチの菜央ちゃんに御用の際
は、マネージャーを通してもらわないとぉ♪","Ooohhh, don't you know touching her is forbidden~? If you wanna schedule with my Nao-chan, you're gonna have to get through her manager fiiirst!♪",
528,ヱリカ,それで？　貴女方の手番は十分ですか？,And so? Will that be your move?,
531,Mion (ウェディング),もちろん、ターンエンド。あんたに次の手、期待してるよ～？,"Of course. Round over. Your next move better be promising, yeah~?",
534,,"　やっぱり、すっごいバチバチしてる。
　しかし、二人とも敵意を剥き出しのはずなのに、まるで映画の中
の出来事のような、カッコよさも兼ね備えている。","Yeah, there are definitely sparks flying between those two. But even though there's supposed to be enmity between them, it's almost like they've combined that with the coolness of a movie scene.",wording probs
535,,……これが、一流はタフでなければ、ということなのね……。,...This must be what it's like to be tough like a first-rate......,
539,詩音 (ビキニアーマー),菜央さん。昨夜は、あの悪戯、すっごいビックリしましたよねぇ？,"Nao-san, last night, didn't you get super shocked from that prank?",
541,Nao (Casual),え？　あ、はい……。,"Eh? Ah, yeah...",
543,詩音 (ビキニアーマー),あれが魔女の仕業だというのなら。,If that was the work of a witch...,
545,詩音 (ビキニアーマー),……こっちは、オヤシロさまの#p祟#sたた#rりがあるかもしれませんねぇ？,"...Oyashiro-sama's curse might be able to exist too, right?",
548,,え、……何？　どういう意味なの………？,Uh... what? What does that mean......?,
549,,"　詩音さんの笑みは、頼もしさが９割と、……１割の不敵さ、不気
味さが含まれている気がした……。","Shion-san's smile was about 90% reliable... and 10% daring, with a bit of creepiness mixed in...",
