event01_30_02.bytes,Eri,Lloro - QC/TL,Naegles - QC,
554,,"　いつも、ふざけて茶化す魅音さんまで……！　ついさっきまで、
人様の屋敷で不謹慎な話で盛り上がっていたのに！","Even Mion-san, who's always messing around and poking fun at people...! Yet just until a bit ago, the others were getting riled up having that impudent conversation about the mansion!",
555,,"　詩音さんは、まるで癇癪を起した子供を宥めるかのような様子
で、あたしに接する。","And Shion-san, who came up to me as if she was trying to pacify an irritable child.",
556,,"　朱志香さんと嘉音さんに至っては、互いに顔を見合わせながら、
……きっと思っているのだ。","As Jessica-san and Kanon-san looked at each other... they surely were thinking that, very much so.",
557,,"　……この小さな客人が、魔女の祟りに遭わないといいのだけれ
ど、と………！",...That they wish this brat of a visitor wouldn't have a fit over a witch's curse... and...!,
563,嘉音,……お嬢様。次のお勤めがありますので。,... My lady. You have your next task to do still.,
565,朱志香,そ、そうだね。嘉音くん、ありがと。,"Th-that's right. Thanks, Kanon-kun.",
567,朱志香,じゃあ、私もそろそろ行くよ。,"I'm gonna head out in a bit, then.",
569,朱志香,"菜央ちゃん、ごめんね？　つまらない話だったよな。忘れて欲しい
ぜっ。……じゃ、じゃあな！","Nao-chan, can you forgive me? It was a boring conversation. I want you to forget it. ...All right, see ya!",
573,,"　朱志香さんたちは、気まずそうにしながら退出していく。
　ヱリカさんも、肩を竦めながら立ち上がる。",Jessica-san and Kanon walked off with perturbed looks. Erika-san simply stood there while shrugging her shoulders.,
576,ヱリカ,私は部屋へ戻ろうと思いますが、皆さんは？,"I do think I will return to my room, but what will everyone else do?",
581,詩音 (Casual),"私たちは明日の準備があるので、同じく部屋に戻って、ちょっと仕
事をしようと思います。","I think since we have to prepare for tomorrow, we should go back to our rooms too to get some work done.",
583,詩音 (Casual),"お姉が突然、色々と注文するもんだから、全然用意が間に合わな
かったんですよ。サイアクです。","Sis suddenly got a bunch of requests coming in, so the arrangements didn't get done in time at all. It {i}sucks{/i}.",
585,Mion (Casual),"私も、部屋に戻って服の準備、手伝って。……ちょっとだけお昼寝
したいかな。",I'm also gonna go back to my room to help prepare the clothes. ...I wonder if I can fit a little nap in.,
588,,気付けば、外はいつの間にか、小雨が降っていた。,"I just realized that at some point, it had started drizzling outside.",
589,,"　空は明るいので、すぐに止むだろうが、傘を差してまで薔薇庭園
に出ようという気持ちはない。","Since the sky is still light, it might stop soon anyway, but it isn't worth it pulling out an umbrella just to set out for the rose garden.",
590,,"　……これはバカンスなのだ。のんびりくつろぐのが目的なのだ。
　昭和の海外旅行みたいに、分刻みでバスであちこちに移動して観
光するようなのとは、まったく違う。","...This is a vacation. Relaxation is the goal. This is completely different from the tight scheduling of overseas travel, having to catch busses all over to sightsee.",
591,,"　それに、魅音さんも言っているが、あたしたちは結構、朝が早
かった。","Plus, just like Mion-san was saying, morning went by pretty fast.",
594,Nao (Casual),……あたしも、ちょっと眠いかも……かも。,...I might be a little tired too... maybe...,
596,,"　ちょっと仮眠して。目が覚めたら、小雨に濡れた薔薇庭園を窓か
ら眺めるのも素敵かもしれない。","I'll nap a bit. And when I wake up, the freshly rained on rose garden will likely make a lovely sight from the window.",
597,,"　いや、案外、横になったら、電源が切れるみたいに眠ってしまう
かも……。","No, on the flipside, the power could cut out unexpectedly while I'm sleeping...",
598,,"　貴重な一日を、朝が早かったので眠いから昼寝する、で費やして
しまうのも、……バカンスなら有りだ。","When the morning goes by so fast, you get sleepy and nap your precious day away... I guess I can owe that to being on vacation.",wording MAYBE
601,Nao (Casual),"取りあえず、窓が閉まってよかったです。でも、やっぱり、寝る時
はちゃんと施錠したいです。",I'm glad the windows are shut for now. But I think I do want to properly lock them while I'm sleeping.,
604,ヱリカ,……どうしたんです？　窓の施錠、壊れてるんですか？,...Why is that? Are the locks on the windows breaking?,
610,詩音 (Casual),壊れてるんじゃないです。壊したんです。どっかの誰かが。,They aren't breaking. They were broken... by someone.,
612,Mion (Casual),"もうちょっと試してみるよ……。謝るのはそれからでも間に合うっ
て。",I can still try at it... I told you there's still time before I have to apologize.,
622,,"　あたしたち４人は、ぞろぞろと２階へあがる。
　そして、それぞれの部屋の施錠を、それぞれの鍵で開き、入っ
た。","The four of us went up to the second floor. And so, we unlocked each of our rooms with our respective keys and entered.",
626,,"　詩音さんは、トランクから、たくさんの衣装を取り出してベッド
の上に広げ始める。
　撮影の時に使うお手製の衣装の一部が、まだ未完成らしい。",Shion-san began spreading clothing garments from the trunk onto the beds in bunches. It seems like some of the garments haven't been finished in time for the photoshoots.,
627,,"　魅音さんは、窓の鍵としばらく格闘したが、やっぱり無理だった
と、けろりと言って舌を出した。","After Mion-san fought for a bit with the window lock, she realized it was impossible and stuck her tongue out at it.",
629,,"　あたしは、自分のベッドに横になり、靴下を脱ぐ。
　……これだけで、だいぶ体が楽になった。","I was laid up on my bed, taking off my socks. With just that, I started feeling relaxed.",
631,,"　本でも読もうと、頭は思っていても、体は拒否する。………眠
い……。",Even thinking about reading a book is making me... sleepy...,condensed for readability
632,,"　こんなにも素敵な島で、こんなにも素敵なゲストハウスで、こん
なにも素敵な薔薇庭園が広がっているのに、……昼寝。","Even being on this wonderful island, even being in this wonderful guesthouse, even with there being such a wonderfully wide rose garden... I'm napping.",
633,,うん。これぞ真のバカンス、真の贅沢かも。かも。,"Yeah. This is true vacationing. True luxury, maybe, maybe.",
634,,"　園崎姉妹の賑やかなおしゃべりを子守歌にしながら、瞼がとろん
と重くなる。","With the Sonozaki sisters' busy chatting serving as a lullaby, my eyelids grew heavier.",
635,,"　……さっきの、魔女の怪談話の異様な雰囲気が嘘のよう。
　あれは、あたしがぼんやりしていた白昼夢ということに、ならな
いかな……。",...The odd atmosphere from the witch ghost story seemed like a lie now. I wonder if that could have been avoided if I didn't absent-mindedly daydream...,wording
636,,"　あたしのしたことは、古手神社の境内で、オヤシロさまなんか信
じないと言ったのと同じようなもの。
　きっと、島の人の気を害した。","What I did was akin to saying I didn't believe in Oyashiro-sama while on the Furude shrine grounds. Surely, I had ruined the mood on the island.",
637,,……島の、真の主の気も、……きっと。,...And the master of the island's too... surely...,
638,,………………………。,...........................,
646,ヱリカ,………………………。,...........................,
649,ドラノール,なるほど。天気雨にもなる訳デス。,I SEE. The occasional sunshower does also HAPPEN.,
651,ドラノール,"ファンタジーの腸を引き摺り出すことを生き甲斐とする貴女が、ベ
アトリーチェ卿の肩を持つトハ。","For someone like you, who lives to tear fantasy apart, siding with Lady Beatrice IS...",
653,ヱリカ,まったくです。蕁麻疹が出ちゃいますね。,Seriously. It's going to give me hives.,
655,ヱリカ,"私は、ベアトの誕生祝いを託された、我が主の使いなのですから。
立場は、一応、弁えているつもりです。",That's why I was appointed as my master's messenger in delivering Beato's present. That's more or less my understanding of it.,
657,ドラノール,それにしても、今日のランチはお見事だったデス。,"At any rate, today's lunch was quite MAGNIFICENT.",
659,ヱリカ,"プレートに盛られたオムライスであろうとも。私はお箸で美味しく
いただけてしまうのですっ。","With the plate heaping with that much omurice, I simply {i}had{/i} to slurp it up voraciously with chopsticks.",
661,ドラノール,ところで、それは……？,"By the way, that IS...?",
663,ヱリカ,"これが、ベアトへの誕生祝いです。ね？　気に入ってくれそうで
しょう？",This is my birthday present for Beatrice. See? I do wonder if she'll come to like it?,
