event01_30_01.bytes,,,hanss,Lloro - QC,Naegles - QC, 
660,Nao (Casual),"……素敵なお屋敷ですね。……ジョサイア・コンドルの仕事でしょ
うか。",...It's a lovely house. ...I wonder if it's the work of Josiah Conder.,,,
663,ヱリカ,"この屋敷が建てられたのは戦後ですよ？　コンドルは１９２０年に
没しています。","This house was built after the war, remember? Conder died in 1920.",,,
668,朱志香,"その、何とかコンドルっていうお偉い建築家に連なるお弟子さんが
設計してくれたらしいぜ。","Uh, apparently it was designed by the apprentice of some great architect named Conder.",,,
672,Mion (Casual),"ゼロからお屋敷を作るって憧れるなぁ！　秘密の部屋とか隠し扉と
かいっぱいありそう！","Man, I'd love to build a mansion from scratch! I could fill it with secret rooms and hidden doors!",,,
675,ヱリカ,"そうですね。愛人なんかを秘密の部屋に住まわせることも出来そう
です。",That's right. You could even build a secret room for your mistress to live in.,,,
679,詩音 (Casual),"人様のお宅に不謹慎ですけど、ミステリーとかサスペンスとかが、
目を瞑るだけでいくらでも浮かんできそうですね。","It might be inappropriate to say this about someone's home, but if you just close your eyes, all sorts of mysteries and suspenseful things come to mind.",,,
683,Nao (Casual),確かに。……めちゃくちゃ不謹慎ですが。,That's certainly... quite inappropriate.,,,
688,？？？？,"朱志香、紗音。お客様のご案内をよろしくお願いしますね。……朱
志香は、礼儀を忘れないように。","Jessica, Shannon. I'll leave the guests to you two. ...Jessica, please don't forget your manners.",,,
691,朱志香,わ、わかってるぜ……。,"I-I know, mom...",,,
697,,それから、あたしたちはぐるりと、屋敷の中を案内された。,"With that, we were shown around the house.",,,
698,,"　最初は緊張していたが、最後の辺りでは、園崎姉妹もすっかりリ
ラックスし、ここでこんな事件があったらステキ！　等と不謹慎に
盛り上がっていた。","At first, we were nervous, but around the end, the Sonozaki sisters were totally relaxed. They started getting excited and talking about how great it would be if some kind of incident occurred here and other such indiscreet topics.  ",,,
699,,そして。玄関に戻る時に、大きなホールを横切る。,"And then, on the way back to the front door, we walked by a great hall.",,,
700,,そこであたしは、……この島の真の主に、出会うのだ。,And there... I met the true master of this island.,,,
704,詩音 (Casual),……うわ、すっごい金髪美人……。,"...Uwah, what beautiful blonde hair...",,,
706,Mion (Casual),誰ですか、……この人……。,Who is... this person...,,,
720,Nao (Casual),……………………。,……………………,,,
722,,"　別に霊感とかがある訳じゃない。
　……でも、あたしには何かが感じられた。","I'm not psychic or anything. 
...But, the painting was making me feel something.",,,
723,,"　それは、……肖像画の女性への深い愛と、……それに勝るとも劣
らないほどの、……狂気だ。",It was... a feeling of deep love for the woman in the painting... bordering on or even exceeding... that of madness.,,,
724,,"　美しい肖像画のはずなのに、……そんなことを感じてしまう。
　あたしも、園崎姉妹のように、孤島の洋館はミステリーの定
番……、などと毒されてしまっているのだろうか。","It should only be a beautiful portrait but... that's how it made me feel. 
I wonder if I've also... been poisoned by the cliche of mysteries on isolated islands.",,,
727,朱志香,ウチの顧問錬金術師サマの肖像画だそうだぜ。,It's a portrait of our family alchemist.,,,
729,朱志香,"祖父さまが言うには、彼女から１００ｔの黄金を借りることが出来
なければ、右代宮家の隆盛もなかったんだそうだ。","According to grandfather, the Ushiromiya family would not have prospered if she had not lent him 100 tons of gold.",,,
732,Nao (Casual),錬金術って、……オカルトの？,Alchemy... like in the occult?,,,
734,朱志香,"まぁ、ポンと金塊を１００ｔも用意できるんだから、錬金術師と呼
んでもおかしくねぇんだろうぜ。","Well, if she can produce 100 tons of gold with a poof, then I suppose you could call her an alchemist.",,,
740,Mion (Casual),つまり、右代宮家の大恩人の肖像画ってこと……？,"So, in other words, it's a portrait of the Ushiromiya family's great benefactor...?",,,
742,詩音 (Casual),雰囲気を見るに、日本の方じゃなさそうですね。,"Judging by the aura, it doesn't seem like she's from Japan.",,,
747,紗音,"こちらは、右代宮家顧問錬金術師の、ベアトリーチェさまの肖像画
でございます。","This is a portrait of the Ushiromiya family alchemist, Beatrice-sama.",,,
752,ヱリカ,……別名、黄金の魔女の、ベアトリーチェ。,"...Also known as the Golden Witch, Beatrice.",,,
754,Nao (Casual),黄金の……魔女……。,The Golden... Witch...,,,
759,,それが、あたしと魔女の、初めての出会いだった。,That was the first meeting between me and the witch.,,,
760,,"　でも、この初めての出会いは、まだマシだったのだ。
　だって、肖像画の中にいたのだから………。","However, this first meeting was preferable to what came next.
Because she was still in the portrait......",,,
766,ベアトリーチェ,"くっくっく、我が六軒島へよくぞ来た！　歓迎しようぞ、ニンゲン
ども……！！","{i}*cackle cackle* Welcome to my Rokkenjima! Enjoy your stay, Humans...!!{/i}",,,
