event01_30_04.bytes,,danpmss,Lloro - QC/TL,Naegles - QC2
499,Nao (Casual),"“ゲストハウスの２階へ上がる為には、必ず１階の広間の前を通ら
なければならない”。","""To get to the second floor of the guesthouse, you must absolutely pass through the front area of the first floor.""",
502,ベアトリーチェ,"くっくっく。言いたいことはわかっておるぞ。ならば、妾がより詳
細に言ってやろう。","*cackle*cackle*cackle*. I know what you're trying to say. Instead, I'll say something more specific.",
507,ベアトリーチェ,"#ff0000そなたたちが施錠してから、再び開錠するまでの間、紗音を除い#r
#ff0000て、ゲストハウス２階に訪れた者はいない。#r","{umi_red}No one visited the second floor of the guesthouse from the time you locked the door until you opened it again, except for Shannon.{/umi_red}",Chapter 5 D111
509,Nao (Casual),"……ありがとう。……ますますに人間の仕業とは思えなくなるけれ
ど、重要なヒントだわ。","...Thanks. ...I'm starting to think a human could do this less and less, but there is an important hint there.",
512,,"　マスターキーを持っているのは紗音さんだけではない。使用人な
らみんな持っているのだ。",Shannon-san is not the only one to have a master key. All servants have a master key.,
513,,"　紗音さんが窓の鍵を直してから退出した後、あたしたちは１階広
間でずっとボードゲームをしていた。","After Shannon-san went to fix the window lock, we had been there on the first floor playing a board game the whole time.",
514,,"　その間に、紗音さん以外のマスターキー保持者が、こっそりと２
階へ上がり、犯行に及んだ可能性だってあったのだ。","In that timeframe, there is a possibility that someone other than Shannon-san who had a master key could have sneakily went up to the second floor and committed the crime.",
518,Nao (Casual),"でも、あなたの赤き真実のお陰で、それら一切の可能性を除外でき
たわ。","But thanks to your red truth, all of those possibilities have been snuffed out.",
520,ベアトリーチェ,"夜は短いのでな。気前よく、今の赤き真実に、さらに情報を加えよ
う。",The night is short. Allow me to tack on some more red truths for you out of generosity.,
524,ベアトリーチェ,"#ff0000そなたたちが施錠してから、再び開錠するまでの間、紗音を除い#r
#ff0000て、ゲストハウス２階に訪れた者はいない。#r","{umi_red}No one visited the second floor of the guesthouse from the time you locked the door until you opened it again, except for Shannon.{/umi_red}",
530,ベアトリーチェ,"#ff0000これは階段で上がることのみを指さない。壁をよじ登ったり、空か#r
#ff0000らグライダーで訪れたり。あらゆる手段によるゲストハウス２階へ#r
#ff0000の到達を否定するものである。#r","{umi_red}Going upstairs through any other way than using the stairs, such as sawing through the walls or gliding in from the sky, is not permitted. Any other means of reaching the second floor can therefore be denied.{/umi_red}",
534,Nao (Casual),え、……それじゃ、窓の意味が………。,"Wha-... Then, that means going in from the window is...",
536,ベアトリーチェ,"くっくっくっく！　紗音が直すまで、窓の鍵は開いていた。そこよ
り何者かが侵入して犯行に及んだとするつもりだったのだろう？","*cackle*cackle*cackle*cackle*! Until Shannon fixed it, the window was unlocked. I suppose you thought someone broke into the guesthouse through there?",
538,Nao (Casual),図星よ……。犯人は外壁を登って、窓から入ったと思ってた……。,Bullseye... I thought the culprit climbed the wall and came in through the window...,
541,,"　最初は、デタラメでもいいから、人間に可能な犯罪であると屁理
屈を言い切れれば勝ち、くらいに思っていた。","At first, when they said nonsense was fine, I thought just saying any crime that was possible for a human would result in me winning.",
542,,ところが、……当たり前だが、魔女はこのゲームに#p慣#s・#r#pれ#s・#r#pて#s・#r#pい#s・#r#pる#s・#r。,"But despite that... of course, this game is something the witch is {i}accustomed to{/i}.",idk how to transcribe the furigana (nareteiru / used to)
545,Nao (Casual),……なるほど。……確かに、ヱリカさんの言う通りですね。,...I see. ...It actually is like Erika-san said.,
548,ドラノール,何がデスカ……？,What IS...?,
550,Nao (Casual),ミステリーには、肉体的な格闘技の一面もある、ってところです。,Mysteries have offensive and defensive components.,
552,Nao (Casual),"この魔女のゲーム。……あたしには勝利条件があるけれど、魔女側
にはないのが不思議でした。","In this witch's game... I have a winning condition, but the fact that the witch's side doesn't is strange.",
554,Nao (Casual),あたしは、人間に可能な犯行であることを示せれば、アガリ。,"If I demonstrate that the crime is possible for a human, I win.",
556,Nao (Casual),"しかし、魔女側には勝利条件がない。あたしがアガリになるまで、
相手をするだけ……。","However, the witch's side has no winning condition. Until I win, my opponent can only...",
559,,"　つまり、魔女が、いつ負けるかだけを競う、知恵の輪みたいな
ゲームだと思っていた。","Basically, this is a game of back and forth wits, where we just compete until the witch loses.",
560,,知恵の輪だって、……敗北はあるのだ。,But with back and forth wits... there are drawbacks.,
564,Nao (Casual),"推理を振り回され、混乱させられて、……あたしの頭が疲れ切っ
て、もうどうでもよくなってしまった時……。あたしは敗北するの
ね。",Amidst the chaos of throwing logic back and forth at each other... I might get tired and start feeling like I don't care about the end result... This is a drawback for me.,
566,ベアトリーチェ,そうだ。菜央。……そなたは本当に理解が早い。,"That's right, Nao. ...You really do understand fast.",
568,ベアトリーチェ,魔女のゲームの勝敗は、妾の側には何もない。,The outcome of this witch game offers nothing for my side.,
570,ベアトリーチェ,"勝利も、敗北も、全て、人間側の手の平の上にあるのだ。……くっ
くっくっく！","Win or lose, the human side has the upper hand. ...*cackle*cackle*!",
572,Nao (Casual),"……まずいわ。唯一、部屋に入った紗音さんは関わっていなくて、
その上、他の誰も２階に行っていないと断じられている。","...This is bad. Shannon-san wasn't involved when she entered, and on top of that, absolutely no one else even went up to the second floor.",
574,Nao (Casual),"一見、人間には無理な犯行に思えてくる。頭が疲れて、魔女を認め
たくなってくる。","At a glimpse, it feels like a crime impossible for a human. When I get tired out, I'll start wanting to acknowledge the witch.",
576,Nao (Casual),"でもね、あたしは負けず嫌いなのよ！　あたしは追い詰められてな
んかいない！",But I hate losing! I haven't been cornered at all!,
580,Nao (Casual),"あなたの赤き真実は、あたしの胸を貫く楔じゃない。ファンタジー
を楔為に越える崖に打ち込む、楔なのよ！！",Your red truths won't shoot through me. I'll launch over this precipice and wedge into the heart of fantasy!!,"huge improv, not sure if it works"
584,,"　あたしが負けを認めない限り絶対に負けない！　つまり、あたし
は絶対に勝てるんだ！",I certainly can't lose until I admit my defeat! This means I'm {i}certainly{/i} going to win!,
587,ドラノール,これは驚きマシタ。……なかなかの逸材デス。,How SURPRISING. ...You are incredibly GIFTED.,
591,ベアトリーチェ,"さてと。今宵は永遠の拷問ではなく、余興である。ゆえに、夜は短
い。","Now, this night isn't meant to be eternal torture, it's meant to be fun. Again, the night is short.",
593,ベアトリーチェ,"本来ならば、そなたが自ら屈服するまで、永遠にゲームの相手とさ
せてやりたいところだが……。","Originally, I would have wanted to force you to play against me eternally until you got bored; however...",
595,ベアトリーチェ,妾とのゲームには期限を切ろう。,Let's cut it off here for now.,
597,ベアトリーチェ,"そなたの滞在は、２泊３日であったな？　それまでに妾の悪戯を暴
いて見せよ。","Your stay is only two nights and three days long, isn't it? Until then, let's see if you can expose my pranks.",
602,Nao (Casual),"……負けたら罰ゲームでもあるの？　魔女だから、とてつもなくエ
グいのが。","...If I lose, is there a punishment game? You're a witch, so you could be extraordinarily gruesome with it.",
604,ベアトリーチェ,稀な客人との余興であるぞ。罰ゲームなどはない。,I am enjoying myself with a rare visitor. There will be no punishment games.,
606,ベアトリーチェ,むしろ逆で、妾を打ち破れたなら、褒美を取らそうではないか。,"Rather, if you can defeat me, why don't I bestow a gift upon you?",
608,Nao (Casual),いいわね。……やる気、出て来たわ。,I like that idea. ...That makes me wanna go at it more.,
615,Nao (Casual),……え？　何？　暗くなってきた。,...Huh? It's fading to black?,
620,ドラノール,それでは菜央。……また次の晩にお会いしまショウ。,"Goodbye, NAO. We shall meet in the next TWILIGHT.",
622,ベアトリーチェ,妾も楽しみにしておるぞ。くっくっくっく…………。,I'm also looking forward to this. *cackle*cackle*cackle*...,
